,year,Type,%
0,1985,Coal ,59.43292104036042
1,1985,Gas ,0.9715219280147877
2,1985,Hydro ,1.3265165772638374
3,1985,Solar ,0.00033885886429891747
4,1985,Wind ,0.0
5,1985,Oil ,16.205562768166555
6,1985,Nuclear ,20.495556696154505
7,1985,Other renewables ,0.0
8,1986,Coal ,66.88156614220566
9,1986,Gas ,0.5789332084458484
10,1986,Hydro ,1.5837792414413878
11,1986,Solar ,0.00033550258909028106
12,1986,Wind ,0.0
13,1986,Oil ,10.374629240278873
14,1986,Nuclear ,19.622946082485527
15,1986,Other renewables ,0.0
16,1987,Coal ,69.48548882533629
17,1987,Gas ,1.5001059209829466
18,1987,Hydro ,1.3858436606291704
19,1987,Solar ,0.0
20,1987,Wind ,0.0
21,1987,Oil ,8.694788687639022
22,1987,Nuclear ,18.283947675034426
23,1987,Other renewables ,0.0
24,1988,Coal ,65.85412450416904
25,1988,Gas ,1.5471545373593458
26,1988,Hydro ,1.5816724682263417
27,1988,Solar ,0.0003270787662915891
28,1988,Wind ,0.0
29,1988,Oil ,9.19388002914272
30,1988,Nuclear ,20.547559297336683
31,1988,Other renewables ,0.0
32,1989,Coal ,63.556113609994135
33,1989,Gas ,1.5731837182319564
34,1989,Hydro ,1.5157429629511898
35,1989,Solar ,0.0
36,1989,Wind ,0.002860911995168238
37,1989,Oil ,9.358996773527027
38,1989,Nuclear ,22.802740117933148
39,1989,Other renewables ,0.0
40,1990,Coal ,64.56453544922577
41,1990,Gas ,1.5631499441732162
42,1990,Hydro ,1.6004303510050384
43,1990,Solar ,0.0
44,1990,Wind ,0.002814795817838925
45,1990,Oil ,10.845095531042507
46,1990,Nuclear ,20.56333446967683
47,1990,Other renewables ,0.1863394831409368
48,1991,Coal ,65.49221835075494
49,1991,Gas ,1.8037940379403792
50,1991,Hydro ,1.4047851335656214
51,1991,Solar ,0.0
52,1991,Wind ,0.002787456445993032
53,1991,Oil ,8.708013937282232
54,1991,Nuclear ,21.848393341076267
55,1991,Other renewables ,0.21305458768873406
56,1992,Coal ,60.31528486838212
57,1992,Gas ,3.919412664347143
58,1992,Hydro ,1.666381138975153
59,1992,Solar ,0.0
60,1992,Wind ,0.010278996894497
61,1992,Oil ,9.285049043274578
62,1992,Nuclear ,23.92420952956457
63,1992,Other renewables ,0.2909890575405787
64,1993,Coal ,53.00060042958569
65,1993,Gas ,10.535063230806369
66,1993,Hydro ,1.3318085310521133
67,1993,Solar ,0.0
68,1993,Wind ,0.06716145365859698
69,1993,Oil ,6.54375398480975
70,1993,Nuclear ,27.65473441823325
71,1993,Other renewables ,0.3707807441612865
72,1994,Coal ,49.406537276685924
73,1994,Gas ,16.308894591466142
74,1994,Hydro ,1.56701106694676
75,1994,Solar ,0.0
76,1994,Wind ,0.10534116450982674
77,1994,Oil ,4.543450168117149
78,1994,Nuclear ,27.034095015280595
79,1994,Other renewables ,0.4650016229888718
80,1995,Coal ,45.99732087818293
81,1995,Gas ,18.889883351510264
82,1995,Hydro ,1.3786808288681305
83,1995,Solar ,0.0
84,1995,Wind ,0.11617430888140735
85,1995,Oil ,5.1261913793921
86,1995,Nuclear ,26.365640855422253
87,1995,Other renewables ,0.4865095547441794
88,1996,Coal ,41.97288431228928
89,1996,Gas ,23.9652061892398
90,1996,Hydro ,0.9678767168186236
91,1996,Solar ,0.0
92,1996,Wind ,0.13908404039137334
93,1996,Oil ,4.897867283044572
94,1996,Nuclear ,26.982018827646947
95,1996,Other renewables ,0.514325941168591
96,1997,Coal ,34.78314184111993
97,1997,Gas ,31.64341098535077
98,1997,Hydro ,1.2536508995713882
99,1997,Solar ,0.0
100,1997,Wind ,0.1902089446683036
101,1997,Oil ,3.0424876021980967
102,1997,Nuclear ,27.98837643690453
103,1997,Other renewables ,0.6016534204815395
104,1998,Coal ,33.904194170956245
105,1998,Gas ,32.47807097306045
106,1998,Hydro ,1.410973324859871
107,1998,Solar ,0.0
108,1998,Wind ,0.24179696223611186
109,1998,Oil ,2.25600163302555
110,1998,Nuclear ,27.42919075767644
111,1998,Other renewables ,0.7317873399852771
112,1999,Coal ,28.841338961458746
113,1999,Gas ,38.815830623847276
114,1999,Hydro ,1.4492958796798052
115,1999,Solar ,0.00027162767451399016
116,1999,Wind ,0.2308835233368917
117,1999,Oil ,1.7788325187219374
118,1999,Nuclear ,25.84074019627816
119,1999,Other renewables ,0.9314384586759236
120,2000,Coal ,32.04006677796328
121,2000,Gas ,39.55312186978297
122,2000,Hydro ,1.3585308848080135
123,2000,Solar ,0.0002671118530884808
124,2000,Wind ,0.2529549248747913
125,2000,Oil ,3.02237061769616
126,2000,Nuclear ,22.721335559265448
127,2000,Other renewables ,1.0513522537562603
128,2001,Coal ,34.38076530854959
129,2001,Gas ,37.112166354354
130,2001,Hydro ,1.0606824783682791
131,2001,Solar ,0.000475981415488702
132,2001,Wind ,0.25239725293864257
133,2001,Oil ,2.447693630743606
134,2001,Nuclear ,23.562126179691823
135,2001,Other renewables ,1.1836928139385772
136,2002,Coal ,32.31441296922723
137,2002,Gas ,39.59405490309743
138,2002,Hydro ,1.2448416520180214
139,2002,Solar ,0.0007015206606987107
140,2002,Wind ,0.3265851691376687
141,2002,Oil ,2.3569370299558057
142,2002,Nuclear ,22.84180392922918
143,2002,Other renewables ,1.3206628266739642
144,2003,Coal ,34.97263173154002
145,2003,Gas ,37.64694251707032
146,2003,Hydro ,0.8161373961353549
147,2003,Solar ,0.0007446903615153827
148,2003,Wind ,0.32502130939687623
149,2003,Oil ,2.269463473832913
150,2003,Nuclear ,22.425673820493536
151,2003,Other renewables ,1.5433850611694706
152,2004,Coal ,33.681340284465996
153,2004,Gas ,40.141437094269975
154,2004,Hydro ,1.2378761499793989
155,2004,Solar ,0.001023566393292912
156,2004,Wind ,0.49455124556836
157,2004,Oil ,2.11847651427294
158,2004,Nuclear ,20.445515080409404
159,2004,Other renewables ,1.8797800646406329
