,year,Type,%
0,1985,Coal (% electricity),59.43292104036042
1,1985,Gas (% electricity),0.9715219280147877
2,1985,Hydro (% electricity),1.3265165772638374
3,1985,Solar (% electricity),0.00033885886429891747
4,1985,Wind (% electricity),0.0
5,1985,Oil (% electricity),16.205562768166555
6,1985,Nuclear (% electricity),20.495556696154505
7,1985,Other renewables (% electricity),0.0
8,1986,Coal (% electricity),66.88156614220566
9,1986,Gas (% electricity),0.5789332084458484
10,1986,Hydro (% electricity),1.5837792414413878
11,1986,Solar (% electricity),0.00033550258909028106
12,1986,Wind (% electricity),0.0
13,1986,Oil (% electricity),10.374629240278873
14,1986,Nuclear (% electricity),19.622946082485527
15,1986,Other renewables (% electricity),0.0
16,1987,Coal (% electricity),69.48548882533629
17,1987,Gas (% electricity),1.5001059209829466
18,1987,Hydro (% electricity),1.3858436606291704
19,1987,Solar (% electricity),0.0
20,1987,Wind (% electricity),0.0
21,1987,Oil (% electricity),8.694788687639022
22,1987,Nuclear (% electricity),18.283947675034426
23,1987,Other renewables (% electricity),0.0
24,1988,Coal (% electricity),65.85412450416904
25,1988,Gas (% electricity),1.5471545373593458
26,1988,Hydro (% electricity),1.5816724682263417
27,1988,Solar (% electricity),0.0003270787662915891
28,1988,Wind (% electricity),0.0
29,1988,Oil (% electricity),9.19388002914272
30,1988,Nuclear (% electricity),20.547559297336683
31,1988,Other renewables (% electricity),0.0
32,1989,Coal (% electricity),63.556113609994135
33,1989,Gas (% electricity),1.5731837182319564
34,1989,Hydro (% electricity),1.5157429629511898
35,1989,Solar (% electricity),0.0
36,1989,Wind (% electricity),0.002860911995168238
37,1989,Oil (% electricity),9.358996773527027
38,1989,Nuclear (% electricity),22.802740117933148
39,1989,Other renewables (% electricity),0.0
40,1990,Coal (% electricity),64.56453544922577
41,1990,Gas (% electricity),1.5631499441732162
42,1990,Hydro (% electricity),1.6004303510050384
43,1990,Solar (% electricity),0.0
44,1990,Wind (% electricity),0.002814795817838925
45,1990,Oil (% electricity),10.845095531042507
46,1990,Nuclear (% electricity),20.56333446967683
47,1990,Other renewables (% electricity),0.1863394831409368
48,1991,Coal (% electricity),65.49221835075494
49,1991,Gas (% electricity),1.8037940379403792
50,1991,Hydro (% electricity),1.4047851335656214
51,1991,Solar (% electricity),0.0
52,1991,Wind (% electricity),0.002787456445993032
53,1991,Oil (% electricity),8.708013937282232
54,1991,Nuclear (% electricity),21.848393341076267
55,1991,Other renewables (% electricity),0.21305458768873406
56,1992,Coal (% electricity),60.31528486838212
57,1992,Gas (% electricity),3.919412664347143
58,1992,Hydro (% electricity),1.666381138975153
59,1992,Solar (% electricity),0.0
60,1992,Wind (% electricity),0.010278996894497
61,1992,Oil (% electricity),9.285049043274578
62,1992,Nuclear (% electricity),23.92420952956457
63,1992,Other renewables (% electricity),0.2909890575405787
64,1993,Coal (% electricity),53.00060042958569
65,1993,Gas (% electricity),10.535063230806369
66,1993,Hydro (% electricity),1.3318085310521133
67,1993,Solar (% electricity),0.0
68,1993,Wind (% electricity),0.06716145365859698
69,1993,Oil (% electricity),6.54375398480975
70,1993,Nuclear (% electricity),27.65473441823325
71,1993,Other renewables (% electricity),0.3707807441612865
72,1994,Coal (% electricity),49.406537276685924
73,1994,Gas (% electricity),16.308894591466142
74,1994,Hydro (% electricity),1.56701106694676
75,1994,Solar (% electricity),0.0
76,1994,Wind (% electricity),0.10534116450982674
77,1994,Oil (% electricity),4.543450168117149
78,1994,Nuclear (% electricity),27.034095015280595
79,1994,Other renewables (% electricity),0.4650016229888718
80,1995,Coal (% electricity),45.99732087818293
81,1995,Gas (% electricity),18.889883351510264
82,1995,Hydro (% electricity),1.3786808288681305
83,1995,Solar (% electricity),0.0
84,1995,Wind (% electricity),0.11617430888140735
85,1995,Oil (% electricity),5.1261913793921
86,1995,Nuclear (% electricity),26.365640855422253
87,1995,Other renewables (% electricity),0.4865095547441794
88,1996,Coal (% electricity),41.97288431228928
89,1996,Gas (% electricity),23.9652061892398
90,1996,Hydro (% electricity),0.9678767168186236
91,1996,Solar (% electricity),0.0
92,1996,Wind (% electricity),0.13908404039137334
93,1996,Oil (% electricity),4.897867283044572
94,1996,Nuclear (% electricity),26.982018827646947
95,1996,Other renewables (% electricity),0.514325941168591
96,1997,Coal (% electricity),34.78314184111993
97,1997,Gas (% electricity),31.64341098535077
98,1997,Hydro (% electricity),1.2536508995713882
99,1997,Solar (% electricity),0.0
100,1997,Wind (% electricity),0.1902089446683036
101,1997,Oil (% electricity),3.0424876021980967
102,1997,Nuclear (% electricity),27.98837643690453
103,1997,Other renewables (% electricity),0.6016534204815395
104,1998,Coal (% electricity),33.904194170956245
105,1998,Gas (% electricity),32.47807097306045
