Country Name,Country Code,Indicator Name,2018
Aruba,ABW,GDP per capita (current US$),30253.27936
Africa Eastern and Southern,AFE,GDP per capita (current US$),1573.221585
Afghanistan,AFG,GDP per capita (current US$),485.6684187
Africa Western and Central,AFW,GDP per capita (current US$),1704.139603
Angola,AGO,GDP per capita (current US$),3289.643995
Albania,ALB,GDP per capita (current US$),5287.663694
Andorra,AND,GDP per capita (current US$),41791.96984
Arab World,ARB,GDP per capita (current US$),6473.549536
United Arab Emirates,ARE,GDP per capita (current US$),43839.32449
Argentina,ARG,GDP per capita (current US$),11795.15939
Armenia,ARM,GDP per capita (current US$),4220.540321
American Samoa,ASM,GDP per capita (current US$),11521.60978
Antigua and Barbuda,ATG,GDP per capita (current US$),16679.59166
Australia,AUS,GDP per capita (current US$),57180.7794
Austria,AUT,GDP per capita (current US$),51461.43322
Azerbaijan,AZE,GDP per capita (current US$),4739.84171
Burundi,BDI,GDP per capita (current US$),238.783467
Belgium,BEL,GDP per capita (current US$),47519.5531
Benin,BEN,GDP per capita (current US$),1241.825298
Burkina Faso,BFA,GDP per capita (current US$),804.5005378
Bangladesh,BGD,GDP per capita (current US$),1698.132081
Bulgaria,BGR,GDP per capita (current US$),9446.700772
Bahrain,BHR,GDP per capita (current US$),24085.95599
"Bahamas, The",BHS,GDP per capita (current US$),33290.02814
Bosnia and Herzegovina,BIH,GDP per capita (current US$),6070.349081
Belarus,BLR,GDP per capita (current US$),6360.062473
Belize,BLZ,GDP per capita (current US$),5001.422157
Bermuda,BMU,GDP per capita (current US$),113023.1856
Bolivia,BOL,GDP per capita (current US$),3548.59078
Brazil,BRA,GDP per capita (current US$),9151.381732
Barbados,BRB,GDP per capita (current US$),17745.25537
Brunei Darussalam,BRN,GDP per capita (current US$),31628.47626
Bhutan,BTN,GDP per capita (current US$),3243.477437
Botswana,BWA,GDP per capita (current US$),7503.878588
Central African Republic,CAF,GDP per capita (current US$),475.9538139
Canada,CAN,GDP per capita (current US$),46454.74339
Central Europe and the Baltics,CEB,GDP per capita (current US$),16045.95364
Switzerland,CHE,GDP per capita (current US$),86388.40495
Channel Islands,CHI,GDP per capita (current US$),
Chile,CHL,GDP per capita (current US$),15888.14436
China,CHN,GDP per capita (current US$),9905.342004
Cote d'Ivoire,CIV,GDP per capita (current US$),2314.050958
Cameroon,CMR,GDP per capita (current US$),1585.240534
"Congo, Dem. Rep.",COD,GDP per capita (current US$),560.8073582
"Congo, Rep.",COG,GDP per capita (current US$),2606.615331
Colombia,COL,GDP per capita (current US$),6729.583332
Comoros,COM,GDP per capita (current US$),1428.290463
Cabo Verde,CPV,GDP per capita (current US$),3616.464537
Costa Rica,CRI,GDP per capita (current US$),12485.4239
Caribbean small states,CSS,GDP per capita (current US$),10234.21118
Cuba,CUB,GDP per capita (current US$),8824.194008
Curacao,CUW,GDP per capita (current US$),19630.89349
Cayman Islands,CYM,GDP per capita (current US$),86059.73922
Cyprus,CYP,GDP per capita (current US$),29089.47133
Czech Republic,CZE,GDP per capita (current US$),23419.73561
Germany,DEU,GDP per capita (current US$),47950.18081
Djibouti,DJI,GDP per capita (current US$),3141.861711
Dominica,DMA,GDP per capita (current US$),7687.462963
Denmark,DNK,GDP per capita (current US$),61591.92887
Dominican Republic,DOM,GDP per capita (current US$),8050.644076
Algeria,DZA,GDP per capita (current US$),4142.018558
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),7924.234301
Early-demographic dividend,EAR,GDP per capita (current US$),3452.378585
East Asia & Pacific,EAS,GDP per capita (current US$),11297.6018
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),8213.360066
Europe & Central Asia,ECS,GDP per capita (current US$),25290.33145
Ecuador,ECU,GDP per capita (current US$),6295.934662
