,country,year,percentage,co2
0,United Kingdom,1985,1.326855436,9.900139784
1,United Kingdom,1986,1.584114744,10.03463939
2,United Kingdom,1987,1.385843661,10.06774667
3,United Kingdom,1988,1.581999547,10.02074396
4,United Kingdom,1989,1.518603875,10.19193063
5,United Kingdom,1990,1.78958463,9.724252827
6,United Kingdom,1991,1.6206271780000001,9.931929002999999
7,United Kingdom,1992,1.9676491930000002,9.603614785
8,United Kingdom,1993,1.769750729,9.364743235
9,United Kingdom,1994,2.137353854,9.252278701
10,United Kingdom,1995,1.9813646919999999,9.036517846
11,United Kingdom,1996,1.621286698,9.363736624
12,United Kingdom,1997,2.045513265,8.956743523
13,United Kingdom,1998,2.384557627,8.976845013
14,United Kingdom,1999,2.611889489,8.901466411
15,United Kingdom,2000,2.663105175,9.001483618
16,United Kingdom,2001,2.497248527,9.209793836000001
17,United Kingdom,2002,2.892791168,8.930869498
18,United Kingdom,2003,2.685288457,9.088047281
19,United Kingdom,2004,3.613231027,9.040489079
20,United Kingdom,2005,4.283163181,8.950152419
21,United Kingdom,2006,4.602174083,8.901697739
22,United Kingdom,2007,5.010681528,8.62913807
23,United Kingdom,2008,5.677015308,8.322844364
24,United Kingdom,2009,6.766784872000001,7.468655396
25,United Kingdom,2010,6.909487319,7.67592643
26,United Kingdom,2011,9.64529698,7.025424601
27,United Kingdom,2012,11.42922222,7.332471327
28,United Kingdom,2013,14.97364878,7.064902559
29,United Kingdom,2014,19.24824706,6.421598191
30,United Kingdom,2015,24.62413828,6.148544958
31,United Kingdom,2016,24.37372301,5.774741668
32,United Kingdom,2017,29.120391700000003,5.546265944
33,United Kingdom,2018,32.94209480000001,5.398708138
