,country,SpatialDimValueCode,FactValueNumeric,ParentLocation,Unnamed: 0,Code,Year,percentage
1,Denmark,DNK,10.11,Europe,1432.0,DNK,2016.0,60.21933496
3,Switzerland,CHE,10.32,Europe,5339.0,CHE,2016.0,64.68030395
15,Brazil,BRA,11.76,Americas,742.0,BRA,2016.0,81.27495688
16,Germany,DEU,11.76,Europe,2093.0,DEU,2016.0,29.41997519
19,Netherlands,NLD,12.01,Europe,3699.0,NLD,2016.0,12.84118223
21,France,FRA,12.21,Europe,1957.0,FRA,2016.0,17.71969525
22,Argentina,ARG,12.35,Americas,213.0,ARG,2016.0,22.37411619
23,Belgium,BEL,12.78,Europe,564.0,BEL,2016.0,17.038301899999997
24,Austria,AUT,12.95,Europe,360.0,AUT,2016.0,78.28039164
27,Japan,JPN,13.74,Western Pacific,2780.0,JPN,2016.0,18.89035149
33,Italy,ITA,15.29,Europe,2724.0,ITA,2016.0,37.60866284
37,Romania,ROU,15.74,Europe,4592.0,ROU,2016.0,41.75048695
43,Malaysia,MYS,17.15,Western Pacific,3247.0,MYS,2016.0,14.27622569
44,Singapore,SGP,17.24,Western Pacific,4934.0,SGP,2016.0,3.262678939
51,Israel,ISR,18.59,Europe,2689.0,ISR,2016.0,2.788286802
53,Colombia,COL,19.03,Americas,1172.0,COL,2016.0,67.06978651
62,Indonesia,IDN,20.66,South-East Asia,2547.0,IDN,2016.0,13.1948839
68,Poland,POL,21.9,Europe,4445.0,POL,2016.0,13.73216306
71,Mexico,MEX,22.77,Americas,3403.0,MEX,2016.0,15.68139023
76,Philippines,PHL,23.72,Western Pacific,4409.0,PHL,2016.0,25.29019395
89,Chile,CHL,26.34,Americas,1100.0,CHL,2016.0,44.42200922
100,South Africa,ZAF,29.42,Africa,5112.0,ZAF,2016.0,3.28568967
106,Thailand,THA,31.88,South-East Asia,5472.0,THA,2016.0,14.21463233
119,Turkey,TUR,36.88,Europe,5604.0,TUR,2016.0,34.15308372
131,United Arab Emirates,ARE,42.24,Eastern Mediterranean,5771.0,ARE,2016.0,0.259343762
142,Nigeria,NGA,47.11,Africa,3836.0,NGA,2016.0,25.38267765
143,China,CHN,48.77,Western Pacific,1136.0,CHN,2016.0,25.69735007
156,Sweden,SWE,6.03,Europe,5303.0,SWE,2016.0,57.17254041
157,Finland,FIN,6.48,Europe,1921.0,FIN,2016.0,44.40273737
158,Canada,CAN,6.69,Americas,969.0,CAN,2016.0,65.98464541
159,New Zealand,NZL,6.72,Western Pacific,3775.0,NZL,2016.0,84.90574018
162,Pakistan,PAK,62.61,Eastern Mediterranean,4258.0,PAK,2016.0,30.97361615
166,Saudi Arabia,SAU,63.96,Eastern Mediterranean,4824.0,SAU,2016.0,0.037327236
167,Bangladesh,BGD,64.13,South-East Asia,472.0,BGD,2016.0,1.930631486
171,Australia,AUS,7.29,Western Pacific,324.0,AUS,2016.0,15.28133626
173,Norway,NOR,7.64,Europe,3977.0,NOR,2016.0,98.22962114
175,Egypt,EGY,72.97,Eastern Mediterranean,1640.0,EGY,2016.0,9.427484088
177,India,IND,78.16,South-East Asia,2511.0,IND,2016.0,16.2959352
179,Portugal,PRT,8.4,Europe,4481.0,PRT,2016.0,54.63124016
180,Ireland,IRL,8.49,Europe,2653.0,IRL,2016.0,24.8616575
186,Spain,ESP,9.51,Europe,5192.0,ESP,2016.0,38.58213437
