IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,LVA,Latvia,Year,2016,TRUE,Residence Area Type,Rural,RUR,10,8.33,12.1,10 [8.33 – 12.1],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,LUX,Luxembourg,Year,2016,TRUE,Residence Area Type,Total,TOTL,10.02,9.25,10.72,10.02 [9.25 – 10.72],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SMR,San Marino,Year,2016,TRUE,Residence Area Type,Total,TOTL,10.06,7.63,13.76,10.06 [7.63 – 13.76],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,SMR,San Marino,Year,2016,TRUE,Residence Area Type,Urban,URB,10.06,7.63,13.76,10.06 [7.63 – 13.76],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,DNK,Denmark,Year,2016,TRUE,Residence Area Type,Urban,URB,10.11,9.36,11.31,10.11 [9.36 – 11.31],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,CHE,Switzerland,Year,2016,TRUE,Residence Area Type,Total,TOTL,10.11,9.86,10.46,10.11 [9.86 – 10.46],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,MHL,Marshall Islands,Year,2016,TRUE,Residence Area Type,Rural,RUR,10.2,3.95,27.83,10.2 [3.95 – 27.83],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,MHL,Marshall Islands,Year,2016,TRUE,Residence Area Type,Total,TOTL,10.2,3.95,27.83,10.2 [3.95 – 27.83],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,LUX,Luxembourg,Year,2016,TRUE,Residence Area Type,Urban,URB,10.2,9.55,10.91,10.2 [9.55 – 10.91],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,DEU,Germany,Year,2016,TRUE,Residence Area Type,Rural,RUR,10.23,10.04,10.62,10.23 [10.04 – 10.62],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,VUT,Vanuatu,Year,2016,TRUE,Residence Area Type,Rural,RUR,10.28,3.68,28.85,10.28 [3.68 – 28.85],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,CHE,Switzerland,Year,2016,TRUE,Residence Area Type,Urban,URB,10.32,10.04,10.65,10.32 [10.04 – 10.65],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2016,TRUE,Residence Area Type,Total,TOTL,10.33,9.89,10.66,10.33 [9.89 – 10.66],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,FJI,Fiji,Year,2016,TRUE,Residence Area Type,Rural,RUR,10.35,3.78,25.05,10.35 [3.78 – 25.05],,,EN,2021-05-06T23:00:00.000Z
SDGPM25,Concentrations of fine particulate matter (PM2.5),text,WPR,Western Pacific,Country,FSM,Micronesia (Federated States of),Year,2016,TRUE,Residence Area Type,Rural,RUR,10.36,3.69,29.16,10.36 [3.69 – 29.16],,,EN,2021-05-06T23:00:00.000Z
