Type,%,Year,,,,
Coal (% electricity),59.43292104,1985,,,,
Gas (% electricity),0.971521928,1985,,,,
Hydro (% electricity),1.326516577,1985,,,,
Solar (% electricity),0.000338859,1985,,,,
Wind (% electricity),0,1985,,,,
Oil (% electricity),16.20556277,1985,,,,
Nuclear (% electricity),20.4955567,1985,,,,
Other renewables (% electricity),0,1985,,,,
Coal (% electricity),66.88156614,1986,,,,
Gas (% electricity),0.578933208,1986,,,,
Hydro (% electricity),1.583779241,1986,,,,
Solar (% electricity),0.000335503,1986,,,,
Wind (% electricity),0,1986,,,,
Oil (% electricity),10.37462924,1986,,,,
Nuclear (% electricity),19.62294608,1986,,,,
Other renewables (% electricity),0,1986,,,,
Coal (% electricity),69.48548883,1987,,,,
Gas (% electricity),1.500105921,1987,,,,
Hydro (% electricity),1.385843661,1987,,,,
Solar (% electricity),0,1987,,,,
Wind (% electricity),0,1987,,,,
Oil (% electricity),8.694788688,1987,,,,
Nuclear (% electricity),18.28394768,1987,,,,
Other renewables (% electricity),0,1987,,,,
Coal (% electricity),65.8541245,1988,,,,
Gas (% electricity),1.547154537,1988,,,,
Hydro (% electricity),1.581672468,1988,,,,
Solar (% electricity),0.000327079,1988,,,,
Wind (% electricity),0,1988,,,,
Oil (% electricity),9.193880029,1988,,,,
Nuclear (% electricity),20.5475593,1988,,,,
Other renewables (% electricity),0,1988,,,,
Coal (% electricity),63.55611361,1989,,,,
Gas (% electricity),1.573183718,1989,,,,
Hydro (% electricity),1.515742963,1989,,,,
Solar (% electricity),0,1989,,,,
Wind (% electricity),0.002860912,1989,,,,
Oil (% electricity),9.358996774,1989,,,,
Nuclear (% electricity),22.80274012,1989,,,,
Other renewables (% electricity),0,1989,,,,
Coal (% electricity),64.56453545,1990,,,,
Gas (% electricity),1.563149944,1990,,,,
Hydro (% electricity),1.600430351,1990,,,,
Solar (% electricity),0,1990,,,,
Wind (% electricity),0.002814796,1990,,,,
Oil (% electricity),10.84509553,1990,,,,
Nuclear (% electricity),20.56333447,1990,,,,
