,country,SpatialDimValueCode,FactValueNumeric,Unnamed: 0,Code,Year,percentage
1,Denmark,DNK,10.11,1432.0,DNK,2016.0,60.21933496
3,Switzerland,CHE,10.32,5339.0,CHE,2016.0,64.68030395
15,Brazil,BRA,11.76,742.0,BRA,2016.0,81.27495688
16,Germany,DEU,11.76,2093.0,DEU,2016.0,29.41997519
19,Netherlands,NLD,12.01,3699.0,NLD,2016.0,12.84118223
21,France,FRA,12.21,1957.0,FRA,2016.0,17.71969525
22,Argentina,ARG,12.35,213.0,ARG,2016.0,22.37411619
23,Belgium,BEL,12.78,564.0,BEL,2016.0,17.038301899999997
24,Austria,AUT,12.95,360.0,AUT,2016.0,78.28039164
27,Japan,JPN,13.74,2780.0,JPN,2016.0,18.89035149
33,Italy,ITA,15.29,2724.0,ITA,2016.0,37.60866284
37,Romania,ROU,15.74,4592.0,ROU,2016.0,41.75048695
43,Malaysia,MYS,17.15,3247.0,MYS,2016.0,14.27622569
44,Singapore,SGP,17.24,4934.0,SGP,2016.0,3.262678939
51,Israel,ISR,18.59,2689.0,ISR,2016.0,2.788286802
53,Colombia,COL,19.03,1172.0,COL,2016.0,67.06978651
62,Indonesia,IDN,20.66,2547.0,IDN,2016.0,13.1948839
68,Poland,POL,21.9,4445.0,POL,2016.0,13.73216306
71,Mexico,MEX,22.77,3403.0,MEX,2016.0,15.68139023
76,Philippines,PHL,23.72,4409.0,PHL,2016.0,25.29019395
89,Chile,CHL,26.34,1100.0,CHL,2016.0,44.42200922
100,South Africa,ZAF,29.42,5112.0,ZAF,2016.0,3.28568967
106,Thailand,THA,31.88,5472.0,THA,2016.0,14.21463233
119,Turkey,TUR,36.88,5604.0,TUR,2016.0,34.15308372
131,United Arab Emirates,ARE,42.24,5771.0,ARE,2016.0,0.259343762
142,Nigeria,NGA,47.11,3836.0,NGA,2016.0,25.38267765
143,China,CHN,48.77,1136.0,CHN,2016.0,25.69735007
156,Sweden,SWE,6.03,5303.0,SWE,2016.0,57.17254041
157,Finland,FIN,6.48,1921.0,FIN,2016.0,44.40273737
158,Canada,CAN,6.69,969.0,CAN,2016.0,65.98464541
159,New Zealand,NZL,6.72,3775.0,NZL,2016.0,84.90574018
162,Pakistan,PAK,62.61,4258.0,PAK,2016.0,30.97361615
166,Saudi Arabia,SAU,63.96,4824.0,SAU,2016.0,0.037327236
167,Bangladesh,BGD,64.13,472.0,BGD,2016.0,1.930631486
171,Australia,AUS,7.29,324.0,AUS,2016.0,15.28133626
173,Norway,NOR,7.64,3977.0,NOR,2016.0,98.22962114
175,Egypt,EGY,72.97,1640.0,EGY,2016.0,9.427484088
177,India,IND,78.16,2511.0,IND,2016.0,16.2959352
179,Portugal,PRT,8.4,4481.0,PRT,2016.0,54.63124016
180,Ireland,IRL,8.49,2653.0,IRL,2016.0,24.8616575
186,Spain,ESP,9.51,5192.0,ESP,2016.0,38.58213437
