Code,Year,Annual CO2 emissions,renewable,non-renewable
GBR,1985,559627325,1.326855436,98.67314456
GBR,1986,568553975,1.584114744,98.41588526
GBR,1987,571667598,1.385843661,98.61415634
GBR,1988,570293732,1.581999547,98.41800045
GBR,1989,581576100,1.518603875,98.48139613
GBR,1990,600343890,1.78958463,98.21041537
GBR,1991,608430640,1.620627178,98.37937282
GBR,1992,592883834,1.967649193,98.03235081
GBR,1993,578635270,1.769750729,98.23024927
GBR,1994,574640846,2.137353854,97.86264615
GBR,1995,566567960,1.981364692,98.01863531
GBR,1996,588187603,1.621286698,98.3787133
GBR,1997,562333177,2.045513265,97.95448674
GBR,1998,567600126,2.384557627,97.61544237
GBR,1999,561108555,2.611889489,97.38811051
GBR,2000,567585033,2.663105175,97.33689482
GBR,2001,576313538,2.497248527,97.50275147
GBR,2002,560066032,2.892791168,97.10720883
GBR,2003,571471921,2.685288457,97.31471154
GBR,2004,572903657,3.613231027,96.38676897
GBR,2005,569962114,4.283163181,95.71683682
GBR,2006,567571938,4.602174083,95.39782592
GBR,2007,559236418,5.010681528,94.98931847
GBR,2008,544498125,5.677015308,94.32298469
GBR,2009,493894854,6.766784872,93.23321513
GBR,2010,511631630,6.909487319,93.09051268
GBR,2011,469453672,9.64529698,90.35470302
GBR,2012,487516555,11.42922222,88.57077778
GBR,2013,477387488,14.97364878,85.02635122
GBR,2014,438540999,19.24824706,80.75175294
GBR,2015,422340107,24.62413828,75.37586172
GBR,2016,399337394,24.37372301,75.62627699
GBR,2017,387565181,29.1203917,70.8796083
GBR,2018,381889659,32.9420948,67.0579052
