country,code,percentage,co2_2018
Afghanistan,AFG,86.54708520000001,0.200151071
Albania,ALB,100.0,1.939731563
Algeria,DZA,1.0128505159999999,3.591657418
Angola,AGO,75.85969056,0.8873803640000001
Antigua and Barbuda,ATG,3.866916317,5.504663385
Argentina,ARG,29.60720057,3.9872341980000003
Armenia,ARM,57.04171777,1.880246268
Australia,AUS,17.93307139,15.47551649
Austria,AUT,76.97136417,7.146637625
Azerbaijan,AZE,8.535066824,3.221402183
Bahrain,BHR,0.033294352,19.59297584
Bangladesh,BGD,1.8588541,0.512837314
Barbados,BRB,3.691591375,4.360870779
Belarus,BLR,2.187836245,6.283647736
Belgium,BEL,62.15801154,8.179711061
Belize,BLZ,95.77728927,1.7751278480000001
Benin,BEN,2.731379347,0.6887223240000001
Bhutan,BTN,99.99941951,1.829277992
Bolivia,BOL,31.431621399999997,2.000327663
Bosnia and Herzegovina,BIH,35.54988194,6.781131607000001
Botswana,BWA,0.168363774,3.64230522
Brazil,BRA,85.63108032,2.041874199
Bulgaria,BGR,54.63149317,5.854773434
Burkina Faso,BFA,15.41909837,0.216186485
Burundi,BDI,63.78335436,0.05279463
Cambodia,KHM,60.19165709,0.686777895
Cameroon,CMR,60.16611006,0.34184290799999995
Canada,CAN,82.33441735,15.49702527
Central African Republic,CAF,99.33774834,0.07071870599999999
Chad,TCD,3.9301310039999997,0.069131598
Chile,CHL,47.42275706,4.624872245
China,CHN,30.943941,7.352262682
Colombia,COL,77.76737267,1.6006506180000002
Comoros,COM,0.398406375,0.312379103
Costa Rica,CRI,98.68975535,1.652184053
Croatia,HRV,72.19897104,4.055928762
Cuba,CUB,3.85609482,2.202300094
Cyprus,CYP,9.434298567999999,6.079400502
Denmark,DNK,68.36090693,5.761494164
Djibouti,DJI,2.43902439,0.510989933
Dominica,DMA,39.23151236,2.513053919
Dominican Republic,DOM,14.49294047,2.363757648
Ecuador,ECU,73.62904689,2.3138123
El Salvador,SLV,75.43919724,1.060625411
Equatorial Guinea,GNQ,40.8135412,5.095625096
Eritrea,ERI,9.596110377,0.231696216
Estonia,EST,16.09088883,12.103085
Ethiopia,ETH,99.96289540000001,0.149050931
Fiji,FJI,59.325171,2.150561976
Finland,FIN,78.49607259999999,8.04275205
France,FRA,91.38305208,4.619241205
Gabon,GAB,41.71825805,2.175272204
Georgia,GEO,83.32424657,2.538541691
Germany,DEU,47.20740508,8.558389812
Ghana,GHA,50.70826355,0.541201382
Greece,GRC,30.32777732,6.08317505
Grenada,GRD,1.606933493,2.691814193
Guatemala,GTM,63.19439731,1.113969273
Guinea,GIN,35.74181154,0.25132323300000003
Guinea-Bissau,GNB,4.7619047619999995,0.16539472800000002
Guyana,GUY,1.742753873,3.13219265
Haiti,HTI,19.73820672,0.29937473800000003
Honduras,HND,68.4030218,1.019032757
Hungary,HUN,61.15173388,4.7455062439999995
Iceland,ISL,99.99032518,6.237224322
India,IND,21.39552757,1.799825446
Indonesia,IDN,18.2384865,2.178461553
Iraq,IRQ,2.391269744,4.895195361
Ireland,IRL,32.99617879,7.624325193
Israel,ISR,2.792855049,6.976403837
Italy,ITA,39.80895522,5.376374339
Jamaica,JAM,13.04981961,2.899634155
Japan,JPN,26.87798239,8.74225771
Jordan,JOR,11.28639769,2.4785952730000003
Kazakhstan,KAZ,10.94891803,12.06196914
Kenya,KEN,86.91527818,0.35802840799999996
Kiribati,KIR,16.21141536,0.690595812
Kuwait,KWT,0.120580855,21.62272431
Latvia,LVA,52.0240424,3.9591650780000003
Lebanon,LBN,2.094308956,4.039707217
Lesotho,LSO,100.0,1.218975994
Liberia,LBR,1.069518717,0.27391711399999996
Libya,LBY,0.024905654,8.825249137
Lithuania,LTU,80.14395812,4.137005929
Luxembourg,LUX,71.52851872,15.33020808
Madagascar,MDG,44.28265111,0.128320761
Malawi,MWI,89.44346824,0.08653372599999999
Malaysia,MYS,17.47902417,7.600220413
Maldives,MDV,0.411522634,3.7036749760000003
Mali,MLI,40.99488141,0.294583928
Malta,MLT,10.12124434,3.198316241
Mauritania,MRT,46.21955078,0.908407126
Mauritius,MUS,21.72367419,3.264040313
Mexico,MEX,21.13890469,3.741477725
Moldova,MDA,6.475111609,3.171832063
Mongolia,MNG,7.410931833999999,6.725098053
Montenegro,MNE,60.45793803,4.049968902
Morocco,MAR,19.90306728,1.8507267840000001
Mozambique,MOZ,84.33437065,0.22511520100000001
Namibia,NAM,98.33178399,1.7358983780000001
Nauru,NRU,0.0,6.555534744
Nepal,NPL,100.0,0.428179218
Netherlands,NLD,19.58564135,8.772823734
New Zealand,NZL,84.0630027,6.572664572000001
Nicaragua,NIC,60.48565708,0.805815233
Niger,NER,4.202563564,0.10203703800000001
Nigeria,NGA,18.72057984,0.667110199
North Macedonia,MKD,35.05411821,3.549725294
Norway,NOR,98.18973299,7.031361189
Oman,OMN,0.011295931,15.19212436
Pakistan,PAK,37.154784,0.981820105
Panama,PAN,78.49664820000001,2.42765632
Papua New Guinea,PNG,20.2303079,0.8668044570000001
Paraguay,PRY,99.99683086,1.210453778
Peru,PER,62.01173819,1.69681923
Philippines,PHL,23.97538555,1.33369096
Poland,POL,12.75371502,8.235472255
Portugal,PRT,50.34498709,4.840612761
Qatar,QAT,0.272816883,32.41563917
Romania,ROU,58.30238316,3.8451327589999997
Rwanda,RWA,53.37995338,0.087790824
Samoa,WSM,32.30232278,1.631587535
Sao Tome and Principe,STP,8.045977011,0.663406498
