Country,%
Austria,79.26764044
Belgium,65.44633967
Czechia,49.31807063
Finland,84.36668116
France,90.53050126
Germany,56.23127093
Greece,35.90825259
Hungary,62.17093743
Ireland,40.73968244
Italy,43.16692884
Netherlands,28.48870196
Norway,98.78692822
Poland,16.91160163
Portugal,58.82566474
Romania,64.30858141
Russia,40.8393372
Serbia,30.00816254
Slovakia,79.93773915
Slovenia,70.59758461
Spain,65.57059614
Sweden,97.8024911
Switzerland,99.03676276
Ukraine,62.32181244
United Kingdom,59.25841999
